well_id,lat,long,aquifer_id
1795,17.9803,-76.9722,3
1797,18.0239,-76.9145,3
1800,17.999,-76.9358,3
1806,17.8293,-77.2832,4
1812,17.889,-76.6106,1
1813,17.8896,-76.6078,1
1815,18.235,-76.6581,10
1822,17.9121,-76.5867,1
1823,17.9817,-76.948,3
1828,17.9421,-77.272,4
1829,17.9457,-77.2737,4
1831,17.9394,-77.2699,4
1835,18.2622,-76.7992,10
1836,18.2622,-76.7992,10
1837,18.2576,-76.8031,10
1840,18.2559,-76.7329,10
1865,17.9994,-76.7734,2
1869,18.2489,-76.8135,10
1870,17.9735,-76.8098,2
1872,17.9401,-77.1016,3
1890,17.814,-77.2824,4
1891,17.8047,-77.2791,4
1895,18.0818,-77.2309,4
1904,18.304,-77.1167,9
1905,18.2718,-77.0792,9
1908,18.029,-76.9189,3
1916,17.9845,-77.6067,5
1937,18.0154,-77.6187,5
1944,18.0347,-77.4208,4
1959,17.9617,-77.1674,4
1977,17.8908,-76.5944,1
1981,18.3974,-77.7314,8
1994,17.9618,-76.9263,3
1995,17.9597,-76.9241,3
2004,18.002917,-77.778933,5
2014,17.9462,-76.6969,2
2037,18.0471,-77.7672,5
2041,17.9787,-77.7586,5
2045,17.8846,-77.7657,5
2050,17.8878,-77.743,5
2051,18.3527,-78.284,6
2052,18.3444,-78.28,6
2053,18.3416,-78.2862,6
2055,18.3391,-78.2757,6
2056,18.335,-78.2732,6
2057,18.3594,-78.2761,7
2064,18.2926,-77.108,9
2081,17.9706,-76.9245,3
2084,18.407,-77.476,9
2098,17.9544,-77.236,4
2101,18.0153,-77.6529,5
2133,17.8849,-76.6135,1
2135,18.4601,-77.9107,7
2139,18.0959,-77.7635,5
2140,18.4336,-77.7453,8
2141,18.4336,-77.7453,8
2143,18.2735,-77.0765,9
2144,17.9761,-77.7537,5
2146,17.8823,-76.5808,1
2149,18.1979,-76.5754,10
2150,17.9355,-77.8022,5
2152,17.9411,-77.7752,5
2161,17.9748,-76.897078,3
2166,18.253,-76.738,10
2191,18.165,-77.727,5
2192,18.167707,-77.71878,5
2287,18.45251,-77.22697,9
